Kategori,Tanggal,Waktu,Tegangan (V),Suhu Air (°C),Suhu Lingkungan (°C),Kelembapan Lingkungan (%),TDS,EC,pH,Cr
Danau,2025-08-21,07:00:00,3.937,13.3,22.0,86.4,36.59,48.24,7.76,12.1
Danau,2025-01-20,06:00:00,3.948,20.5,24.22,77.5,956.18,1242.85,7.48,24.32
Sungai,2025-08-01,07:00:00,3.856,12.51,13.75,80.1,191.54,286.69,7.82,21.78
Danau,2025-11-20,12:00:00,4.198,13.78,22.0,71.1,17123.44,22145.63,7.65,39.73
Sungai,2025-07-11,08:00:00,4.031,16.06,21.65,87.4,624.35,942.1,7.53,28.02
Waduk,2025-01-14,18:00:00,3.719,21.93,24.65,71.6,185.25,284.1,7.82,23.74
Waduk,2025-08-24,18:00:00,3.745,19.93,22.16,65.4,282.7,468.41,8.42,20.22
Sungai,2025-02-23,14:00:00,3.707,20.8,23.28,82.9,104.84,143.95,7.58,17.54
Danau,2025-01-08,09:00:00,3.638,18.1,22.0,68.7,62.05,96.82,7.92,16.14
Air tanah,2025-06-22,14:00:00,4.164,19.69,23.95,59.7,457.64,664.41,7.73,26.62
Sungai,2025-09-30,17:00:00,3.919,11.7,17.9,77.7,277.52,434.23,7.44,24.0
Waduk,2025-06-14,13:00:00,3.978,22.15,24.71,57.6,70.8,135.18,8.48,18.0
Sungai,2025-04-08,13:00:00,3.743,21.84,26.36,75.1,155.99,197.68,7.58,18.71
Danau,2025-03-24,06:00:00,3.843,24.16,29.17,70.2,85.88,149.47,7.21,18.45
Waduk,2025-11-01,17:00:00,4.101,19.61,24.88,75.3,237.84,350.18,7.97,20.54
Air tanah,2025-06-22,17:00:00,3.71,16.79,20.46,64.8,581.8,1065.85,7.53,25.66
Air tanah,2025-05-29,06:00:00,3.589,20.03,25.2,56.7,212.0,262.47,7.24,20.93
Sungai,2025-04-13,09:00:00,3.638,21.65,27.41,67.1,558.04,848.18,7.79,24.27
Waduk,2025-08-30,06:00:00,4.116,20.18,21.5,86.6,139.09,269.49,7.92,19.18
