Kategori,Tanggal,Waktu,Tegangan (V),Suhu Air (°C),Suhu Lingkungan (°C),Kelembapan Lingkungan (%),TDS,EC,pH,Cr
Danau,2025-08-21,07:00:00,3.937,12.84,22.0,86.4,36.594,48.243,7.812,0.003079
Danau,2025-01-20,06:00:00,3.953,19.87,23.44,78.0,956.177,1242.848,7.586,0.0145
Sungai,2025-08-01,07:00:00,3.874,10.02,11.21,81.9,191.544,286.685,7.842,0.010752
Waduk,2025-11-20,12:00:00,4.163,19.55,25.06,65.7,479.488,658.254,8.025,0.014009
Danau,2025-07-11,08:00:00,4.066,17.71,23.04,86.9,25970.288,36469.482,7.473,0.029109
Waduk,2025-01-14,18:00:00,3.718,22.12,24.76,71.5,185.248,284.097,7.825,0.011587
Air tanah,2025-08-24,18:00:00,3.763,14.26,20.0,64.7,521.802,864.564,7.795,0.01376
Sungai,2025-02-23,14:00:00,3.742,15.88,18.28,86.4,104.84,143.951,7.657,0.007392
Danau,2025-01-08,09:00:00,3.638,17.59,22.0,68.7,62.05,96.815,7.937,0.006243
Akuakultur,2025-06-22,14:00:00,4.14,27.44,31.5,61.9,234.026,320.469,7.851,0.011845
Sungai,2025-09-30,17:00:00,3.933,9.94,15.88,79.2,277.518,434.229,7.544,0.012178
Waduk,2025-06-14,13:00:00,3.977,22.35,24.79,57.5,70.801,135.178,8.479,0.008098
Sungai,2025-04-08,13:00:00,3.78,16.57,20.95,78.9,155.987,197.676,7.653,0.008555
Danau,2025-03-24,06:00:00,3.849,23.48,28.26,70.8,85.876,149.468,7.369,0.007421
Air tanah,2025-11-01,17:00:00,4.139,13.83,20.0,76.6,449.841,662.328,7.425,0.01308
Air tanah,2025-06-22,17:00:00,3.709,17.05,20.58,64.7,581.803,1065.849,7.533,0.014665
Akuakultur,2025-05-29,06:00:00,3.57,27.15,32.13,59.3,61.805,90.279,7.817,0.005687
Sungai,2025-04-13,09:00:00,3.676,16.42,21.97,71.0,558.044,848.183,7.82,0.013926
Air tanah,2025-08-30,06:00:00,4.13,14.37,20.0,85.5,268.923,521.037,7.389,0.011882
Akuakultur,2025-12-09,13:00:00,3.818,27.44,28.87,73.4,337.62,432.672,7.83,0.011977
Waduk,2025-03-17,14:00:00,3.867,24.77,30.2,55.5,67.934,108.797,7.68,0.006874
Danau,2025-05-30,12:00:00,3.86,20.27,22.93,67.9,49.864,78.252,7.535,0.005477
Danau,2025-12-14,18:00:00,3.641,16.96,23.16,74.5,267.103,398.788,7.547,0.011585
Waduk,2025-01-25,07:00:00,4.094,24.57,30.46,65.7,149.263,253.187,7.99,0.009417
Danau,2025-10-30,17:00:00,3.684,14.34,22.0,92.0,615.021,891.362,6.992,0.016225
Sungai,2025-05-27,09:00:00,4.005,13.87,19.43,73.6,196.376,378.704,8.091,0.011189
